2019-03-21,1,433,"HR 33 H 3344",MARKET,22.00,LOKESH,palwal,35.26,440.00,11,22,775.72,100.00,10.00,875.72,50.00,2,725.72,50.00,50.00,23,625.72,0.00,625.72,1.42,palwal
2019-03-21,2,32,"HR 33 H 3344",SELF,50.00,raman,delhi,85.23,1000.00,132,2,4261.50,100.00,50.00,4361.50,10.00,1,4251.50,50.00,100.00,22,4101.50,0.00,4101.50,4.10,delhi
2019-03-23,3,333,"HR-30 G3343",MARKET,3.00,LOKESH,delhi,35.26,60.00,1,0,255.69,0.00,0.00,255.69,0.00,0,255.69,0.00,0.00,0,255.69,0.00,255.69,4.26,delhi
2019-03-23,3,333,"HR-30 G3343",MARKET,3.00,LOKESH,delhi,35.26,60.00,1,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,
2019-03-24,4,," ",SELF,0.00,,,0.00,0.00,3,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,
2019-03-23,5,," ",SELF,0.00,,,0.00,0.00,1,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,
2019-03-23,6,44,"HR 33 H 3344",MARKET,5.00,mohan,palwal,35.26,100.00,1,0,176.30,0.00,0.00,176.30,0.00,0,176.30,0.00,0.00,0,176.30,0.00,176.30,1.76,palwal
2019-03-23,7,545,"HR 33 H 3344",MARKET,65.00,mohan,palwal,35.26,1300.00,15,1,2291.90,100.00,50.00,2391.90,200.00,2,2091.90,50.00,200.00,22,1841.90,1.00,1841.90,1.42,palwal
2019-03-22,8,," ",SELF,0.00,,,0.00,0.00,1,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,
2019-03-22,9,," ",SELF,0.00,,,0.00,0.00,1,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,
2019-03-22,10,," ",SELF,0.00,,,0.00,0.00,1,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,
2019-03-23,11,," ",SELF,0.00,,,0.00,0.00,1,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,
2019-03-23,12,," ",SELF,0.00,,,0.00,0.00,1,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,
2019-03-23,13,," ",SELF,0.00,,,0.00,0.00,1,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,
2019-03-23,14,," ",SELF,0.00,,,0.00,0.00,1,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,
2019-03-23,15,433,"HR-30 G3343",MARKET,5.00,LOKESH,palwal,35.26,100.00,122,1,176.30,66.00,33.00,242.30,12.00,3,0.00,23.00,3.00,33,138.30,1.00,138.30,1.38,palwal
